GeneID	Myers_H1-hESC_cell_2x75_200_1	Myers_H1-hESC_cell_2x75_200_2	Myers_HUVEC_cell_2x75_200_1	Myers_HUVEC_cell_2x75_200_2
407040	4	4	5	2
102724571	62	67	154	74
9563	807	970	5940	4028
80176	237	257	1913	1315
100506022	4	4	75	29
84275	733	814	555	304
199953	1603	1712	1049	717
107985734	31	42	26	19
105376712	3	0	0	0
5293	2768	3093	1226	742
644997	3	2	0	0
101929074	202	271	12	12
22883	8706	9321	15276	8288
56998	1870	2146	1420	1188
105376717	127	185	119	93
84328	685	537	1251	665
64802	202	200	942	642
113391335	3	1	0	1
100847055	0	0	0	0
116362	111	162	0	0
10277	6752	6178	3927	2311
23095	6729	5349	6252	4055
105376725	15	12	1	0
5226	15232	16562	17076	9630
100526739	163	186	180	87
378708	162	192	214	105
1325	39	37	15	8
1676	4918	5203	3566	2272
5195	1089	1301	1117	675
54897	557	527	135	109
105376733	0	0	0	0
105376735	0	0	0	0
148345	12	21	0	1
23435	12731	9170	9910	5029
10747	173	167	121	75
6723	6104	6159	5952	3478
5394	4100	3882	4742	2328
105376736	144	107	136	61
2475	8962	8296	7940	4259
100873935	176	125	102	39
10218	3	9	1	2
29914	1380	1297	925	456
105376737	1	0	0	0
105376739	0	0	0	0
105376740	6	7	0	0
57540	352	351	20	43
112268221	33	48	1	0
101929181	0	0	1	0
26232	1834	2692	19	21
93611	1445	1750	577	571
26270	103	93	92	117
10459	7558	9404	1281	873
374946	2103	2049	140	85
57085	1786	2192	1074	812
284498	284	256	168	113
102724659	3	10	0	1
4524	1178	1020	919	643
1185	1971	1820	1344	773
100379251	218	157	193	81
4878	10	13	24	13
4879	4	5	0	0
26829	1	0	6	0
90231	2099	2369	3208	2010
5351	2813	3454	19838	15002
9927	4462	4914	9646	5256
60672	2227	2324	782	612
102466982	5	7	1	1
943	1619	1947	4	4
102465836	0	2	13	8
7133	108	164	1508	1378
100616438	0	0	0	0
107984917	0	0	2	3
55187	2630	1970	4644	2704
677885	12	12	16	4
105376744	1	0	1	2
9249	1107	1254	1649	847
102466722	6	11	5	2
343066	2	5	1	0
126767	50	37	0	0
93190	1	6	0	0
390999	0	0	0	0
65121	0	0	0	0
105376745	0	0	0	0
440560	0	0	0	0
343069	12	10	13	10
65122	0	0	0	0
400735	0	0	0	0
343071	0	0	0	0
441871	0	0	0	0
440561	0	0	0	0
101929983	0	0	0	0
649330	1	1	5	1
441873	0	0	0	0
649324	0	0	0	0
440563	0	1	5	0
645354	0	0	0	0
645359	0	0	0	0
101060301	1	0	3	0
343070	0	0	0	0
400736	0	0	0	0
391003	0	0	0	0
343068	0	0	0	0
391002	0	0	0	0
645382	0	0	0	0
653619	0	0	0	0
729528	0	0	0	0
645414	0	0	0	0
391004	0	0	0	0
645425	0	0	0	0
126755	17	16	0	0
102724856	1	1	0	0
107984918	1	2	0	0
10630	4856	5302	0	0
107984919	28	53	0	0
105378612	0	0	0	0
105376756	0	0	0	0
7799	979	965	2258	1466
23254	612	634	273	404
107985467	0	0	0	0
107985468	0	0	0	0
105376762	0	0	0	0
105376759	0	11	0	0
107985469	5	5	0	0
200197	59	69	3	4
55092	413	574	524	321
727684	0	4	1	0
114827	59	55	14	8
101927417	12	12	3	0
101927441	8	14	7	2
79180	1071	1416	4335	2281
11330	2	3	6	3
63036	9	3	1	1
105376767	5	1	3	1
51032	9	21	3	1
842	829	1040	354	216
23341	916	855	1472	811
107397391	0	0	0	0
79814	292	338	101	51
84301	2461	2030	2672	1651
6248	370	252	484	270
23207	3559	3721	5108	3345
284723	50	44	101	70
110806303	1	5	89	53
388595	47	47	14	15
54751	3368	3652	17405	11099
440567	527	474	335	227
729614	193	214	163	92
23013	4746	4889	6352	3603
7709	1000	1218	1428	1089
149563	0	0	0	0
27129	15	31	1	0
1187	71	105	2	1
1188	116	162	2	1
348487	31	52	34	36
1969	2695	2158	14499	8714
101927479	29	30	29	16
128272	3197	3558	236	244
101927546	18	26	22	30
79363	80	116	150	99
54455	1092	1113	1343	897
26099	3461	3317	6555	4066
374955	1714	1700	3028	1951
55707	1139	1170	5195	3411
107984921	70	99	47	22
114819	434	415	165	108
26871	6	25	22	7
107985757	0	0	0	0
100132147	9	8	11	7
107985758	2	1	1	0
7195	0	0	0	0
55672	660	516	1560	775
105376794	1234	1153	645	334
84809	534	575	286	184
11209	151	227	46	32
107985736	38	30	1	1
26869	6	22	12	5
107985759	1	0	0	0
284729	30	28	1	0
100189045	0	0	0	0
6060	6	19	15	3
11223	123	138	38	24
100500876	0	0	0	0
100189298	0	2	0	0
112267871	14	21	7	2
7193	1	1	0	0
100189183	0	0	0	0
105376805	149	184	60	62
791226	0	1	1	0
26870	5	14	12	4
9696	4602	4384	955	786
4237	3736	4967	1625	2053
105376806	537	646	236	236
23400	4852	4841	2955	2596
6390	1739	1801	3066	1736
11240	285	287	2	0
105376808	1	1	0	0
400743	0	1	0	0
29943	8	22	1	0
51702	29	69	0	0
100616188	1	2	0	0
23569	7	4	0	0
353238	0	1	0	0
55920	23610	26966	8883	5773
55160	3096	3309	148	192
107984028	0	0	0	0
81569	30	28	1	0
105376809	0	2	0	0
105376812	0	0	0	0
101927876	0	0	0	0
84966	698	846	0	0
105376814	1	2	0	0
127707	1260	978	0	0
5081	11	3	0	0
80834	0	1	0	0
8659	2345	2449	702	691
100616120	1	1	0	0
100302276	0	4	2	0
126917	578	669	3274	1914
105376815	0	1	0	0
23352	20248	16457	19681	12121
101927895	135	141	440	237
23065	2939	2819	8737	4988
51154	2363	2414	2626	1202
246181	51	50	34	16
22977	46	54	19	14
100506730	118	128	100	62
8574	958	1114	1510	1039
54896	808	853	638	521
832	8436	10100	10205	6687
105376819	1	1	1	1
105376818	0	2	0	0
105376817	0	0	0	0
105378614	0	0	0	0
440574	1592	1747	2935	1613
100532736	705	813	1679	1174
644068	71	123	54	47
4681	156	200	1008	659
3362	83	116	2	1
255104	222	297	456	303
54546	0	1	0	0
105376823	0	0	1	0
23252	1176	1025	675	459
30814	0	0	1	0
5320	28	37	0	0
5322	3	5	7	3
26279	0	0	0	0
64600	0	0	0	0
391013	2	0	0	1
127733	60	82	1	3
101928017	2	1	1	3
105376825	1	3	0	0
105376826	1	2	0	0
105376827	0	0	0	0
105376828	0	0	0	0
127731	121	111	0	0
339505	2	0	0	0
55450	271	309	412	390
79594	906	1089	1451	946
163933	118	114	1	1
978	90	180	3	1
65018	663	769	1131	906
102464833	29	24	12	7
100861548	754	819	1746	1234
1650	10198	11202	13390	9886
57576	507	885	8	11
400745	1149	1411	64	47
112268222	402	318	1322	791
50809	3008	2358	6776	3934
8672	4558	4196	6316	3785
105376830	7	7	3	1
105376829	7	9	7	1
100302155	0	0	1	0
1889	2860	3021	46751	34850
100506801	23	22	18	16
105376832	1	0	0	0
84224	249	271	345	221
249	12964	14539	2	1
105376834	3	4	2	0
5909	619	766	12	26
84196	3493	3356	7829	4479
401944	1275	1507	29983	32335
3339	12859	13038	465915	486448
23436	1	0	2	2
10136	0	1	0	0
101928043	44	31	13	5
29092	524	623	268	194
112268223	9	7	28	13
998	5095	4676	22717	12516
54361	287	421	11	6
105376845	15	20	4	3
105376850	5	4	0	1
107985377	0	0	0	0
100616433	0	0	0	0
105376856	0	0	0	0
9923	2519	1172	4034	1991
2046	166	300	0	1
102466615	0	0	0	0
712	0	3	0	0
714	0	0	0	0
713	0	0	0	0
2048	1317	1557	11080	6775
100616391	0	0	0	0
100422914	34	37	302	157
646262	0	0	0	0
729059	0	2	1	0
23028	13059	14048	8078	4541
100422866	1	0	0	0
7798	4094	3524	12045	6656
3352	348	419	468	243
100996511	78	59	73	35
10236	8164	8448	11379	5359
80818	71	82	795	494
148898	12	17	74	32
6920	6	4	134	114
55616	3007	3239	1183	1477
1870	486	524	236	98
101928163	11	13	8	5
105376859	42	37	3	2
3399	4342	3722	8355	6421
107984928	0	0	0	0
259283	0	2	0	0
6135	34485	43452	29039	26131
6924	2665	2472	2919	1186
100506963	231	223	199	102
57095	2006	2016	1247	710
105376860	510	437	340	162
11313	5641	5838	3931	2519
2582	851	1033	1334	1098
3155	505	750	814	730
105376861	6	14	0	2
2517	273	292	296	184
1269	0	1	0	0
107984929	0	0	0	0
100616492	0	0	0	0
55629	3528	2565	3352	1565
10772	5831	5110	5556	2824
105378615	0	0	0	0
105376863	2	1	0	0
107984931	0	1	1	0
127294	13	7	11	19
107985737	1	1	0	1
105376864	10	7	1	0
58985	20	36	0	0
163702	683	633	1	0
284632	0	0	0	0
105376871	4	3	0	0
57822	82	79	0	0
90529	375	453	258	230
57185	679	613	1761	1125
100750325	9	18	0	0
11123	640	519	157	102
100506985	23	17	5	6
400746	9	13	0	0
10250	6437	7881	4021	2312
25932	9049	7849	23661	12065
105376876	0	0	0	0
864	57	60	0	1
102465437	0	0	0	0
107984932	0	1	0	0
105376878	5	13	0	0
100616365	0	0	0	0
105376879	0	0	0	0
25949	844	776	1701	939
57035	1398	1144	1796	1105
105376882	1	3	0	0
6007	41	38	17	14
23585	2042	2276	5509	3820
6006	726	768	2249	1497
55219	730	636	1883	1158
26119	870	909	1371	858
57134	519	496	53	24
57190	7912	8142	17614	15350
56181	737	784	1148	693
646471	135	114	242	138
79000	687	805	300	126
164091	553	673	720	673
3925	7922	9414	13310	7163
100500808	552	1065	579	615
105376885	1	0	0	0
5051	474	550	378	254
101928216	7	22	2	2
2134	44	68	5	17
7780	7	50	2	1
105376910	0	0	0	0
84676	0	1	1	0
149420	139	119	298	158
105376886	0	1	1	0
79927	26	34	228	226
110806296	0	0	0	0
51042	472	581	502	395
10256	647	863	11	2
378807	17	35	0	0
101928303	58	72	8	0
64793	2359	2348	1207	770
83442	3453	3932	20671	11789
91544	405	437	375	200
1043	16	25	0	0
55057	629	836	0	0
257101	2	1	0	0
79727	71473	71777	2	0
79947	1567	1847	2391	1577
101928324	15	8	8	6
3151	7072	6990	9650	3312
6195	3200	3764	1040	645
100302190	0	0	0	0
105376888	1	3	2	0
101928728	21	26	33	3
8289	13035	13055	6535	3942
55650	523	473	284	166
84243	1791	1794	1618	1116
2810	176	219	5	2
54707	1198	1149	1449	877
63906	691	662	622	403
10726	7080	7301	6721	4043
8431	0	3	1	0
126695	708	843	2	1
388610	1363	1460	962	531
115572	6832	7597	27	46
101928391	55	84	6	0
6548	1942	1904	5865	3072
102723760	0	0	0	1
105376890	0	1	0	0
23038	1761	1718	2734	2177
84065	990	1190	1554	877
644961	84	95	243	145
84958	368	510	4	3
9064	392	522	1118	891
8547	7	12	3	1
388611	101	152	0	0
2827	450	441	121	68
10163	5911	5756	9353	6857
105376892	4	1	0	0
27245	1997	2131	1390	1211
2268	19	24	2	1
111216282	0	1	0	0
2537	212	354	1005	906
199870	370	386	326	187
23673	265	256	3671	2229
5511	1755	1637	2506	1333
677774	3	1	2	2
9473	623	726	507	434
6118	2143	2523	1497	823
27293	3040	3140	29	52
55113	833	816	543	393
2140	1545	1202	2144	1145
5724	109	106	24	23
22826	4666	4420	4804	2846
93974	3280	3764	2749	1725
83667	2440	2193	1248	734
54797	537	533	487	261
65979	2816	2809	3760	1839
1104	5738	5430	3922	1710
8420	5034	4295	2238	1409
6080	288	272	150	85
26768	226	164	117	93
54952	930	1180	1093	501
85028	830	662	486	405
692212	23	19	8	6
677838	86	67	70	29
677825	28	34	25	14
692073	48	24	42	13
115273	467	472	42	18
6883	686	678	854	406
105378616	8	8	6	8
26824	2	4	1	1
10691	1254	1215	893	461
51441	6210	6383	5548	3026
4985	392	403	16	12
2035	5065	4675	2209	1668
399474	642	736	160	107
6429	4513	4034	3938	2331
51102	749	1046	903	623
10076	3178	3352	287	336
101928460	2	0	0	0
107984933	0	1	0	0
107984934	0	0	0	0
101929406	0	1	0	0
105378617	0	0	0	0
105378618	0	0	0	0
4146	13	11	8	15
100129196	4	8	13	19
7805	19	32	6479	3027
100616164	0	0	2	0
105378620	1	3	18	8
105378621	0	0	0	0
105378622	0	0	2	1
400748	1	0	0	1
9672	2072	2505	3448	2902
9698	7605	6634	7461	4612
692234	19	14	10	5
692235	20	13	11	4
692200	0	3	0	1
107984935	6	2	5	6
79570	2767	3169	11	13
9410	3281	3307	2466	1200
51538	1944	2276	2398	1478
2170	711	934	27	29
105378623	1	0	0	0
107985470	1	1	0	0
347735	1911	2299	1509	1081
105378625	0	1	0	0
105379772	1	2	0	0
149086	2	0	0	0
284551	3	0	0	0
105378626	4	6	178	78
64129	440	475	15966	8447
3061	118	85	163	112
553115	1272	1366	2380	1635
107985471	74	45	14	25
105378628	3	0	1	1
1307	557	694	49	32
101929444	7	10	10	1
576	1875	2398	181	156
100423028	5	3	0	0
90853	90	127	1746	1188
8073	4170	4161	6648	3619
10657	10326	11862	11962	6133
55116	852	980	1422	909
100847018	0	1	0	0
23633	5193	5230	4819	2716
200081	2996	3481	4033	2622
79140	427	581	339	276
56063	317	408	424	272
55721	152	203	78	51
149069	59	64	40	27
8668	7405	8504	8178	5437
339483	533	561	376	236
84734	152	204	17	17
3932	2984	3656	0	1
3065	5403	6116	5086	2734
65108	19152	19452	9536	6736
105378629	13	11	2	3
81629	229	157	201	80
100128071	86	47	21	28
55108	1864	1994	3194	1973
728116	691	602	1	2
653121	548	502	603	446
102723870	12	17	4	5
339487	747	927	810	468
5928	8898	8214	6457	3984
81493	1146	993	1680	993
57648	6155	6337	1696	1072
8565	8151	9249	6219	3076
64766	1885	1824	944	694
252995	80	99	14	6
105378631	1	3	1	0
3208	50	56	38	34
113452	262	473	1626	1246
105378632	0	0	0	0
127544	636	748	2281	1402
204	3753	3579	5550	3432
105378635	1	0	0	2
113451	28	38	65	56
112268224	8	6	0	1
55223	609	590	675	577
149076	1095	1443	1218	927
127550	1	2	1	0
1912	676	1048	4092	2612
100500853	25	29	125	81
101929464	2	2	3	0
7579	290	259	277	213
114784	1902	1910	4	1
105378638	2	3	0	0
127540	0	1	0	0
402779	0	0	0	0
84970	311	416	0	0
105378639	0	0	0	0
105378640	0	0	0	0
105378641	0	0	0	0
693137	0	0	0	0
105378642	1	2	4	1
2709	22	33	0	0
127534	9	22	1	0
2707	50	55	1	0
2701	84	112	140	95
113444	1372	1455	2311	1375
58512	744	1066	3	5
653160	50	50	69	42
100506144	262	426	579	422
9204	481	410	1214	619
79830	779	656	936	448
105378644	1	3	0	0
6421	19321	17555	20539	10419
9202	3539	3021	4925	2723
100861513	67	45	156	81
79932	3959	3858	2884	1883
23154	2490	2522	1453	892
339488	62	52	18	17
105378645	17	12	0	5
5690	4751	5175	7855	3692
105378646	0	1	0	0
127703	810	868	1406	823
63967	2150	2353	1474	459
192670	865	800	1067	732
26523	4297	3532	3616	1720
192669	1436	1119	1132	699
105378647	0	1	1	0
27285	92	88	13	6
54936	1073	1097	1156	733
1296	134	234	176	272
27095	1274	1671	3128	1928
55700	3351	3633	8047	5603
9967	10018	9371	8678	4796
79729	1062	1100	358	294
55194	445	508	1407	1209
83931	1569	1496	1432	857
84967	1224	1476	1246	581
127700	80	106	141	112
109616970	1	0	0	0
107984940	3	3	1	0
64960	2360	2530	2406	1483
1441	1	0	0	0
107984941	1	0	0	0
105378648	0	0	0	0
2899	294	285	0	0
100422898	0	0	0	0
107984942	0	2	0	0
728431	19	29	62	42
80149	423	443	276	159
102465438	3	2	0	1
64769	779	801	1628	998
100847010	7	4	7	5
105378649	34	29	41	21
79753	515	522	668	425
7802	573	637	142	135
29889	3544	3486	3230	1750
284654	34	41	0	0
54955	909	869	496	265
55143	2096	2252	2354	755
284656	112	128	2	0
105378650	0	0	0	0
149175	280	402	33	41
79693	770	847	1044	652
127687	950	1000	781	728
4520	708	716	1035	588
3633	1306	1213	574	363
105378651	33	28	27	21
10946	6801	6943	5403	2676
2275	1197	1269	1535	940
51118	910	1094	1888	1089
5453	509	581	1	0
107985103	28	32	1	0
105378653	56	59	0	1
100500801	1	1	0	0
105378655	8	7	0	0
105378654	8	6	0	0
339442	3	3	0	0
105378657	12	32	0	0
107984943	142	90	0	0
105378656	1	0	0	0
105378658	0	0	0	0
105378660	0	0	0	0
64121	614	646	3054	1827
100527950	407	356	558	253
26292	404	350	550	249
105378663	3	4	6	2
81025	4	6	10	4
54933	28	42	46	37
105378662	5	11	19	16
79647	8012	7951	3287	1943
4725	8714	12127	8232	5905
23499	18027	15095	49950	31741
643314	1812	1131	4005	1429
105378950	1	1	0	1
353500	229	231	19	12
192217	61	89	87	90
728448	311	277	13	9
8761	7113	8540	10012	8712
101929516	1112	1322	1301	1101
677834	13	7	17	11
26508	187	259	2	5
84618	0	0	0	0
51440	52	77	1	0
10450	1320	1577	1635	1028
656	80	109	14	11
64064	87	136	76	67
105378666	0	0	0	0
101929536	3	5	0	0
105378951	0	0	0	1
107985740	1	0	2	0
105378665	1	1	1	0
105378667	1	0	0	0
54802	961	956	775	440
4610	1107	1240	94	78
105378668	70	79	9	7
84879	898	940	321	152
105378669	1	3	0	2
10487	7417	8019	15518	7627
5538	8078	7300	11120	5787
105378671	0	0	0	0
6018	1167	1012	987	641
127391	0	0	0	1
10269	1143	963	3821	1880
1298	272	376	5	14
107984945	0	0	0	0
64744	331	300	902	528
65243	347	347	307	184
339559	125	162	105	64
105378672	19	28	22	13
64789	267	291	381	185
127396	123	117	129	79
105378673	1	0	0	0
9783	2154	2562	18	24
105378675	53	58	1	0
105378674	0	1	0	0
100130557	221	173	76	54
4802	1866	2047	1183	644
407034	0	0	0	0
407031	0	0	0	0
9132	399	468	14	15
105378676	1	0	0	0
163732	287	399	166	162
1503	4836	4820	3754	1983
100507178	198	186	171	93
200172	104	96	61	49
22955	1121	1075	1566	1012
100132074	217	294	17	33
101929901	2	3	4	0
105378678	0	0	20	12
1907	6	4	0	0
59269	30	36	458	233
2981	0	0	0	0
2980	1	0	0	0
22887	2201	2050	2320	1257
284716	534	586	4	2
84217	3	10	8	3
728621	116	106	98	82
79717	418	477	756	544
10465	1393	1514	1177	620
4904	35466	39710	33479	21247
149461	765	829	0	0
64175	2410	2777	5792	4697
79078	428	421	453	302
105378683	13	7	7	4
100129924	21	20	5	3
107984946	2	4	2	1
374969	352	426	308	240
114625	264	316	339	261
51058	758	811	251	166
339539	6	11	1	2
6513	12534	14462	1405	889
440584	52	67	16	12
440585	37	40	27	10
10969	2947	2763	5017	2073
102465439	4	4	4	2
149465	34	44	102	86
105378685	13	9	2	1
128218	950	1128	0	0
149466	316	367	0	0
7075	99	126	32260	22066
4352	28	30	11	5
105378687	36	24	13	1
991	8354	7670	5308	1410
64834	995	1003	6495	3461
102466723	1	1	1	2
112268225	7	17	14	4
112950	595	726	1806	1012
107984947	102	107	206	92
23334	1315	1319	6032	3835
100873952	56	41	126	63
102465440	0	0	15	6
81888	271	323	2528	1786
5792	20961	22354	33277	21715
9682	6202	5910	3531	2124
100132774	479	478	244	157
6487	312	373	674	515
101929592	1	1	2	0
102464830	0	0	0	0
9048	328	352	6	2
105378688	27	23	10	0
101929609	118	96	135	98
9670	1611	1461	2112	1346
1802	2659	2509	1365	745
533	2510	2553	2295	1334
8704	2600	3497	3683	2495
149473	372	480	101	87
6536	1426	1527	70	45
107984948	18	36	6	10
128209	1	1	0	0
105378952	0	6	0	0
55929	1115	1236	1126	668
79033	2659	3306	1787	1182
100874278	26	27	31	19
106635545	0	4	1	0
55182	3846	4599	1643	1201
107984951	2	2	0	0
100847089	0	1	0	0
107984950	868	988	440	293
79639	213	283	77	87
109623472	1	1	0	0
339541	21	43	0	2
105378690	9	7	0	0
26828	1	0	3	1
26830	2	4	7	5
11004	3306	3426	2258	667
109623476	7	8	2	0
6202	38933	50689	37725	29264
26811	30	15	75	45
94161	47	32	41	15
94162	30	29	20	13
94163	32	23	10	11
266675	79	103	15	8
1263	388	333	1616	950
343521	21	11	324	246
149478	25	32	873	739
107984952	5	4	114	103
8643	82	78	46	48
8891	952	985	1760	829
79654	2737	2936	4585	3400
7389	2438	2636	5311	3365
57643	345	287	265	133
105378691	15	25	4	1
400752	12	19	2	1
84842	1650	1502	175	56
4595	1504	1814	314	174
114034	813	825	673	396
10420	652	643	88	52
126661	176	184	97	65
25974	4963	5429	4083	2108
5052	18115	22570	22516	10706
10327	8068	9881	2831	2264
4678	31621	30741	5073	2435
149483	122	97	53	26
60313	3794	3919	2921	1815
728963	18	18	6	2
51249	1222	1242	1034	615
3652	174	174	623	275
105378693	0	0	0	0
23139	2945	3195	3945	3105
105378694	4	4	5	1
110117499	395	397	577	190
8503	449	448	708	229
101929626	2	0	1	1
10103	8	11	13	6
110117498	0	0	0	0
55624	1794	1906	3100	2263
541468	123	106	56	41
8438	2377	2629	805	299
10489	2087	2078	3470	2430
7388	6861	11376	5203	4204
387338	700	646	1037	633
2166	2191	2003	17	15
729041	14	26	2	5
101929651	2	4	0	0
127343	20	24	0	0
105378696	0	1	0	0
100507423	65	59	107	72
148930	1	0	0	0
8569	739	647	1440	772
148932	393	408	190	217
105378697	1	0	1	0
64756	1367	1359	1102	610
374973	3	0	6	0
100130197	69	42	134	57
9813	1942	1486	3950	2439
105378698	9	6	21	8
105378699	1	1	0	0
1580	0	2	0	0
163720	0	4	0	0
1579	0	2	0	0
260293	101	107	24	2
199974	0	5	0	0
284541	1	6	0	1
105378701	31	39	6	2
100874253	0	5	4	4
10158	0	1	1	2
6886	13	10	2996	2109
6491	1351	1054	1533	514
51727	709	572	5203	2908
102724077	6	3	10	0
2301	15	17	0	1
84793	17	16	57	15
2306	0	2	2	0
107984953	1	1	0	0
388630	364	423	2	0
105379778	1	1	0	0
391037	4	5	0	0
200010	33	20	5	0
54558	294	278	108	60
84871	1	5	0	0
79656	173	192	0	0
105378706	0	0	0	0
101929721	0	0	0	0
100874313	0	0	0	0
107984954	0	0	0	0
105378708	0	0	0	0
1996	1	10	0	0
105378709	0	0	0	0
107984955	0	0	0	0
